CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment
36047089000;Kings;Brooklyn;6750;2951;3799;12.04;02.04;84.08.00;00.00;00.04;3977;28688.0;2748.00.00;14994.0;2315.00.00;38.05.00;45.08.00;21.03;41.02.00;16.07;13.03;07.05;13.07;01.05;69.05.00;15.03;00.00;00.00;46.05.00;2388;77.03.00;15.09;06.09;00.00;17.04
36047089200;Kings;Brooklyn;3651;1503;2148;05.05;01.04;91.00.00;01.07;00.00;1911;25350.0;6939.00.00;13311.0;1730.00.00;31.06.00;38.03.00;12.02;55.02.00;22.00;03.05;07.00;09.00;00.00;77.09.00;07.00;00.00;06.01;51.04.00;1524;89.05.00;09.09;00.06;00.00;13.01
36047089400;Kings;Brooklyn;3751;1736;2015;09.05;03.00;86.02.00;00.00;01.00;2159;43159.0;5305.00.00;17375.0;3801.00.00;27.09.00;40.07.00;31.05.00;34.03.00;16.04;04.04;13.05;16.04;07.00;68.03.00;06.09;00.00;01.05;50.08.00;1471;72.07.00;18.04;08.08;00.00;12.05
36047089600;Kings;Brooklyn;3411;1633;1778;06.08;02.01;84.09.00;00.00;06.02;1842;34482.0;4504.00.00;17592.0;2595.00.00;26.01.00;25.05.00;17.05;40.01.00;26.09.00;08.05;07.00;14.05;01.05;69.01.00;15.00;00.00;00.00;49.07.00;1536;78.01.00;19.00;02.09;00.00;10.02
36047089800;Kings;Brooklyn;1777;782;995;06.06;00.08;92.06.00;00.00;00.00;1017;38988.0;7402.00.00;17278.0;2730.00.00;26.04.00;37.05.00;13.02;37.04.00;34.00.00;01.08;13.07;17.01;04.04;76.09.00;01.07;00.00;00.00;53.01.00;680;73.04.00;19.07;06.09;00.00;17.08
36047090000;Kings;Brooklyn;5358;2012;3346;18.02;00.08;80.09.00;00.00;00.01;3050;27716.0;2978.00.00;15048.0;3229.00.00;37.04.00;50.03.00;26.03.00;34.04.00;22.07;09.01;07.06;17.04;00.05;69.04.00;11.00;01.01;00.06;41.02.00;2036;69.03.00;28.03.00;02.04;00.00;08.06
36047090200;Kings;Brooklyn;3886;1587;2299;18.01;00.06;74.07.00;00.00;05.04;2030;42734.0;13971.0;16035.0;3827.00.00;40.04.00;60.00.00;15.06;33.03.00;26.02.00;10.06;14.02;29.00.00;06.03;53.07.00;03.05;03.01;04.03;42.05.00;1165;79.00.00;15.05;05.05;00.00;19.03
36047090600;Kings;Brooklyn;4318;1772;2546;32.04.00;01.07;63.02.00;00.00;00.07;2574;15674.0;5079.00.00;9988.00.00;1662.00.00;47.09.00;59.02.00;17.09;39.08.00;17.09;06.02;18.03;13.08;02.07;68.09.00;11.00;00.09;02.08;52.01.00;1064;75.03.00;18.03;06.04;00.00;21.05
36047090800;Kings;Brooklyn;5679;1968;3711;30.06.00;01.04;67.05.00;00.00;00.05;3305;12863.0;3274.00.00;15470.0;9872.00.00;62.01.00;69.06.00;08.08;35.07.00;38.00.00;04.07;12.08;06.03;00.05;83.03.00;08.03;00.00;01.06;44.01.00;1267;79.09.00;18.05;01.06;00.00;21.04
36047091000;Kings;Brooklyn;6094;2558;3536;20.00;00.05;76.09.00;00.05;00.00;3514;10746.0;2083.00.00;7433.00.00;1539.00.00;67.03.00;95.07.00;12.05;23.06;46.04.00;02.06;14.09;06.06;01.04;84.09.00;07.02;00.00;00.00;70.05.00;1155;87.02.00;12.08;00.00;00.00;29.03.00
