index,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Poverty,BOROCT2010,location,Provider,ct2010,borough,number of public wifi
36005021501,4726.0,2079.0,2647.0,0.74,0.01,0.21,0.0,0.0207,0.3801,2021501.0,['1701 MARTIN LUTHER KING JR BOULEVARD'],['NYPL'],21501,['Bronx'],1
36005021900,1277.0,617.0,660.0,0.9102,0.020099999999999996,0.060700000000000004,0.0,0.0,0.2901,2021900.0,['1391 JEROME AVENUE'],['LinkNYC - Citybridge'],219,['Bronx'],1
36005022102,5010.0,2303.0,2707.0,0.7702,0.0105,0.17059999999999997,0.0,0.0004,0.4907,2022102.0,['96 EAST 170 STREET'],['LinkNYC - Citybridge'],221,['Bronx'],1
36005022200,3414.0,1677.0,1737.0,0.5905,0.0401,0.1604,0.0,0.1805,0.2807,2022200.0,['1985 WESTCHESTER AVENUE'],['NYPL'],222,['Bronx'],1
36005022300,5108.0,2565.0,2543.0,0.6602,0.020499999999999997,0.2807,0.0,0.0,0.4104,2022300.0,['2 East 172 Street'],['LinkNYC - Citybridge'],223,['Bronx'],1
36005022500,8066.0,3705.0,4361.0,0.6308,0.0002,0.3309,0.0,0.0108,0.3601,2022500.0,['MORRIS AV 1 P/S/O MT EDEN PKWY'],['ALTICEUSA'],225,['Bronx'],3
36005022701,5917.0,2621.0,3296.0,0.6406000000000001,0.0108,0.3109,0.0,0.0104,0.30010000000000003,2022701.0,['1750 JEROME AVENUE'],['LinkNYC - Citybridge'],22701,['Bronx'],3
36005022702,1485.0,853.0,632.0,0.5201,0.0,0.39049999999999996,0.0007000000000000001,0.04019999999999999,0.3408,2022702.0,['1605 WALTON AVENUE'],['LinkNYC - Citybridge'],227,['Bronx'],1
36005022703,1871.0,817.0,1054.0,0.4704,0.1002,0.2609,0.0,0.1503,0.2701,2022703.0,['155 EAST 173 STREET'],['NYPL'],22703,['Bronx'],1
36005022800,6231.0,2961.0,3270.0,0.45039999999999997,0.1509,0.2402,0.0,0.1405,0.17059999999999997,2022800.0,['2147 BARNES AVENUE'],['NYPL'],228,['Bronx'],1
36005023100,1594.0,988.0,606.0,0.6306,0.0208,0.3208,0.0,0.0,0.4208,2023100.0,['400 EAST TREMONT AVENUE'],['LinkNYC - Citybridge'],231,['Bronx'],4
36005023301,4356.0,2012.0,2344.0,0.7404999999999999,0.0,0.2408,0.0,0.0,0.36060000000000003,2023301.0,['1 EAST 177 STREET'],['LinkNYC - Citybridge'],23301,['Bronx'],4
36005023502,4706.0,2245.0,2461.0,0.7702,0.03,0.1605,0.0,0.0105,0.4108,2023502.0,['Tremont Ave'],['Transit Wireless'],23502,['Bronx'],1
36005023702,1216.0,655.0,561.0,0.7309,0.020499999999999997,0.20010000000000003,0.0,0.0003,0.35009999999999997,2023702.0,['2493 VALENTINE AVENUE'],['LinkNYC - Citybridge'],237,['Bronx'],4
36005023703,5014.0,2500.0,2514.0,0.7301000000000001,0.04,0.19079999999999997,0.0,0.0207,0.4307,2023703.0,['2437 GRAND CONCOURSE'],['LinkNYC - Citybridge'],237,['Bronx'],4
36005023704,3717.0,1541.0,2176.0,0.7504000000000001,0.0008,0.22039999999999998,0.0,0.0005,0.55,2023704.0,['126 EAST 183 STREET'],['LinkNYC - Citybridge'],237,['Bronx'],1
36005023800,2567.0,1329.0,1238.0,0.6004,0.16079999999999997,0.1802,0.0,0.030899999999999997,0.28059999999999996,2023800.0,['BIRCHAll AV INDOOR LOBBY'],['ALTICEUSA'],238,['Bronx'],2
36005023900,8282.0,3887.0,4395.0,0.7803,0.0009,0.19010000000000002,0.0006,0.0101,0.45020000000000004,2023900.0,['2454 WALTON AVENUE'],['LinkNYC - Citybridge'],239,['Bronx'],2
36005024100,6324.0,3194.0,3130.0,0.6901,0.0009,0.2703,0.0001,0.0105,0.38060000000000005,2024100.0,['111 EAST BURNSIDE AVENUE'],['LinkNYC - Citybridge'],241,['Bronx'],5
36005024300,5748.0,2578.0,3170.0,0.6901999999999999,0.0101,0.2303,0.0,0.0601,0.45030000000000003,2024300.0,['70 WEST BURNSIDE AVENUE'],['LinkNYC - Citybridge'],243,['Bronx'],3
36005024502,3619.0,1796.0,1823.0,0.7006,0.0007000000000000001,0.2807,0.0,0.0,0.5405,2024502.0,['1999 UNIVERSITY AVENUE'],['LinkNYC - Citybridge'],245,['Bronx'],1
36005025100,6564.0,2967.0,3597.0,0.6808,0.010700000000000001,0.1907,0.0,0.0608,0.3406,2025100.0,['23 WEST BURNSIDE AVENUE'],['LinkNYC - Citybridge'],251,['Bronx'],3
36005025200,2692.0,1379.0,1313.0,0.3406,0.41090000000000004,0.060899999999999996,0.0003,0.1303,0.23079999999999998,2025200.0,['985 MORRIS PARK AVENUE'],['NYPL'],252,['Bronx'],1
36005025300,5952.0,2908.0,3044.0,0.73,0.0009,0.19039999999999999,0.0109,0.0404,0.24050000000000002,2025300.0,['2415 JEROME AVENUE'],['LinkNYC - Citybridge'],253,['Bronx'],2
36005025500,5874.0,3149.0,2725.0,0.7706999999999999,0.0008,0.2003,0.0,0.0,0.5003,2025500.0,['148 West Fordham Road'],['LinkNYC - Citybridge'],255,['Bronx'],1
36005026300,6456.0,2985.0,3471.0,0.8003,0.050499999999999996,0.1306,0.0005,0.0,0.3404,2026300.0,['Near Tennis Courts'],['AT&T'],263,['Bronx'],3
36005026400,5842.0,2938.0,2904.0,0.5109,0.33030000000000004,0.0604,0.0003,0.0705,0.1402,2026400.0,['3060 MIDDLETOWN ROAD'],['NYPL'],264,['Bronx'],1
36005026500,7009.0,3116.0,3893.0,0.7601,0.02,0.09050000000000001,0.0,0.1106,0.32030000000000003,2026500.0,['82 WEST KINGSBRIDGE ROAD'],['LinkNYC - Citybridge'],265,['Bronx'],5
36005026701,3659.0,1771.0,1888.0,0.6701999999999999,0.030600000000000002,0.030699999999999998,0.0,0.2109,0.2904,2026701.0,['118 EAMES PLACE'],['NYPL'],26701,['Bronx'],2
36005027401,4576.0,2254.0,2322.0,0.0901,0.8603000000000001,0.0,0.0,0.0405,0.0405,2027401.0,['C/O MIDDLETOWN RD /MCDONOUGH PL'],['ALTICEUSA'],27401,['Bronx'],6
36005027600,63.0,35.0,28.0,0.1207,0.3605,0.5008,0.0,0.0,0.1207,2027600.0,['MIDDLETOWN RD 1/P/W/O KENNELLWORTH PL'],['ALTICEUSA'],276,['Bronx'],5
36005027900,6809.0,3488.0,3321.0,0.5902000000000001,0.1607,0.1603,0.020099999999999996,0.0504,0.1106,2027900.0,['Crotona Park-ON SPAN BETWEEN PS 4 & PS 171'],['ALTICEUSA'],279,['Bronx'],1
36005028900,4326.0,2009.0,2317.0,0.5901,0.27,0.0405,0.0,0.0404,0.1304,2028900.0,['280 WEST 231 STREET'],['NYPL'],289,['Bronx'],1
36005030900,3896.0,1626.0,2270.0,0.1107,0.7608,0.06,0.0007000000000000001,0.0401,0.0301,2030900.0,['650 WEST 235 STREET'],['NYPL'],309,['Bronx'],1
36005033400,1441.0,713.0,728.0,0.6007,0.1,0.2602,0.0,0.0302,0.1902,2033400.0,['Near Burke Ave'],['ALTICEUSA'],334,['Bronx'],2
36005033700,2277.0,1028.0,1249.0,0.1401,0.7106999999999999,0.0405,0.0,0.0504,0.0508,2033700.0,['5540 MOSHOLU AVENUE'],['NYPL'],337,['Bronx'],1
36005034000,4582.0,2304.0,2278.0,0.4807,0.0704,0.3605,0.0,0.0407,0.3104,2034000.0,['2740 BARNES AVENUE'],['NYPL'],340,['Bronx'],1
36005035800,7558.0,3268.0,4290.0,0.2004,0.0102,0.7404000000000001,0.02,0.0101,0.0601,2035800.0,['1385 EAST GUNHILL ROAD'],['NYPL'],358,['Bronx'],6
36005036300,7977.0,3882.0,4095.0,0.7909,0.0101,0.1804,0.0,0.0,0.4807,2036300.0,['C/O E 180TH /DALY AV'],['ALTICEUSA'],363,['Bronx'],3
36005036502,2002.0,892.0,1110.0,0.73,0.0206,0.2102,0.0,0.0302,0.4603,2036502.0,['1917 SOUTHERN BOULEVARD'],['LinkNYC - Citybridge'],36502,['Bronx'],1
36005036700,2709.0,1291.0,1418.0,0.7609,0.01,0.21059999999999998,0.0,0.0002,0.49079999999999996,2036700.0,['CROTONA PARK-TRAFALGAR PL 1/P/N/O E 175TH ST'],['ALTICEUSA'],367,['Bronx'],3
36005036902,2236.0,1039.0,1197.0,0.6003000000000001,0.0008,0.3809,0.0,0.0,0.45030000000000003,2036902.0,['Crotona Park- CROTONA PARK NORTH  1/P/E/O CROTONA AV'],['ALTICEUSA'],36902,['Bronx'],1
